surface_m2,log_surface,rooms,bathrooms,total_rooms,rooms_per_m2,city_tier,prop_tier,city_encoded,is_sale,is_apartment,is_villa,is_studio,type_appartement
8.417910447761194,1.9201108354677239,2.0,0.0,2.0,-0.6377952755905512,3,2,4,1,1,0,0,True
0.9552238805970149,0.6961326121630278,5.0,0.0,5.0,0.22834645669291337,3,2,4,1,1,0,0,True
0.11940298507462686,0.13652150708809657,0.0,0.0,0.0,-0.3622047244094489,3,2,4,1,1,0,0,True
0.1791044776119403,0.19575770878184406,0.0,0.0,0.0,-0.3858267716535434,2,2,3,1,1,0,0,True
-0.208955223880597,-0.33433132724875997,0.0,0.0,0.0,0.0,3,2,4,1,1,0,0,True
0.808955223880597,0.6257583268535057,0.0,0.0,0.0,-0.5433070866141733,3,2,4,1,1,0,0,True
0.07164179104477612,0.08513579361989772,4.0,0.0,4.0,1.2125984251968505,3,2,4,1,1,0,0,True
-0.3283582089552239,-0.6398654715776874,0.0,0.0,0.0,0.4094488188976378,3,2,4,1,1,0,0,True
0.11044776119402985,0.12717625191619608,0.0,0.0,0.0,-0.35433070866141736,3,2,4,1,1,0,0,True
-0.26865671641791045,-0.47017251934501153,2.0,0.0,2.0,1.9055118110236224,3,2,4,1,1,0,0,True
-0.1791044776119403,-0.27535077145874043,3.0,0.0,3.0,1.9055118110236224,3,2,4,1,1,0,0,True
-0.08955223880597014,-0.12390735205254981,1.0,0.0,1.0,0.33070866141732275,3,2,4,1,1,0,0,True
0.05970149253731343,0.07166244090165488,1.0,0.0,1.0,0.07086614173228345,3,2,4,1,1,0,0,True
1.462686567164179,0.8958992416711224,0.0,0.0,0.0,-0.5984251968503937,3,2,4,1,1,0,0,True
-0.13432835820895522,-0.19544471740075323,2.0,0.0,2.0,1.0314960629921262,3,2,4,1,1,0,0,True
0.08656716417910448,0.10161250719091619,0.0,0.0,0.0,-0.3385826771653544,2,2,2,1,1,0,0,True
-0.26865671641791045,-0.47017251934501153,1.0,0.0,1.0,1.0314960629921262,3,2,4,1,1,0,0,True
-0.11343283582089553,-0.1611274531754222,3.0,0.0,3.0,1.5039370078740157,3,2,4,1,1,0,0,True
2.4477611940298507,1.169389635074459,5.0,0.0,5.0,-0.24409448818897642,3,2,4,1,1,0,0,True
-0.34328358208955223,-0.6897964460660189,2.0,0.0,2.0,2.9212598425196847,3,2,4,1,1,0,0,True
0.11940298507462686,0.13652150708809657,0.0,0.0,0.0,-0.3622047244094489,3,2,4,1,1,0,0,True
