id,title,price,city,property_type,surface_m2,rooms,bathrooms,transaction_type,url
69922845b4db7c7155569b2a,PROPOS DE CE BIEN,250000.0,Tunis,Appartement,1002.0,1,1,vente,https://www.immo-dulac.com/bien/details/128233-villa-de-luxe-a-vendre-a-kantaoui-sousse
69922847b4db7c7155569b2b,PROPOS DE CE BIEN,2000.0,Tunis,Appartement,420.0,1,1,vente,https://www.immo-dulac.com/bien/details/122435-une-grande-villa-a-louer
6992284ab4db7c7155569b2c,PROPOS DE CE BIEN,2000.0,Tunis,Appartement,400.0,1,1,vente,https://www.immo-dulac.com/bien/details/124903-rez-de-chaussee-s3-standing-a-louer
6992284cb4db7c7155569b2d,PROPOS DE CE BIEN,250000.0,Tunis,Appartement,970.0,1,1,vente,https://www.immo-dulac.com/bien/details/120922-villa-luxueuse-sur-3-niveaux-a-vendre
6992284eb4db7c7155569b2e,PROPOS DE CE BIEN,1300.0,Tunis,Appartement,120.0,3,1,vente,https://www.immo-dulac.com/bien/details/121632-rez-de-chaussee-de-villa-s3-a-louer
69922851b4db7c7155569b2f,PROPOS DE CE BIEN,660000.0,Tunis,Appartement,429.0,1,1,vente,https://www.immo-dulac.com/bien/details/120478-villa-haut-standing
69922853b4db7c7155569b30,Liste des maisons ou villas vendre,250000.0,Tunis,Appartement,1002.0,2,1,vente,https://www.immo-dulac.com/vente/maison
69922855b4db7c7155569b31,PROPOS DE CE BIEN,200000.0,Tunis,Appartement,200.0,1,1,vente,https://www.immo-dulac.com/bien/details/124473-fond-de-commerce-a-vendre-a-yasser-arafet
69922859b4db7c7155569b33,PROPOS DE CE BIEN,1800.0,Tunis,Appartement,200.0,1,1,vente,https://www.immo-dulac.com/bien/details/123337-etage-de-villa-s3-richement-meuble-a-louer
6992285bb4db7c7155569b34,PROPOS DE CE BIEN,21000.0,Tunis,Appartement,100.0,2,1,vente,https://www.immo-dulac.com/bien/details/121155-rez-de-chaussee-villa-s2
6992285db4db7c7155569b35,PROPOS DE CE BIEN,5000.0,Tunis,Appartement,340.0,1,1,vente,https://www.immo-dulac.com/bien/details/122033-grande-villa-a-louer-usage-bureautique-ou-siege
69922860b4db7c7155569b36,PROPOS DE CE BIEN,550000.0,Tunis,Appartement,247.0,3,1,vente,https://www.immo-dulac.com/bien/details/120610-rdc-s4-standing
